copy,copy,copy,copy,,,
0,volume-aspirate-200.0-trial_9-humidity-pipette-avg,None,,,,
5378.5,volume-dispense-200.0-trial_9-average,200.36,,,,
5378.6,volume-dispense-200.0-trial_9-cv,-1,,,,
5378.7,volume-dispense-200.0-trial_9-d,0.18,,,,
0,volume-dispense-200.0-trial_9-celsius-pipette-avg,None,,,,
0,volume-dispense-200.0-trial_9-humidity-pipette-avg,None,,,,
0,VOLUMES_END,,,,,
1601.9,____________,,,,,
1601.9,TRIALS_START,,,,,
1601.9,trial-1-aspirate-1.0-ul-channel_1,1.09,,,,
1601.9,trial-1-dispense-1.0-ul-channel_1,1.04,,,,
1602,trial-1-liquid_height-1.0-ul-channel_1,20.25,,,,
1733.6,trial-2-aspirate-1.0-ul-channel_1,1.08,,,,
1733.7,trial-2-dispense-1.0-ul-channel_1,1.08,,,,
1733.7,trial-2-liquid_height-1.0-ul-channel_1,20.25,,,,
1858.5,trial-3-aspirate-1.0-ul-channel_1,1.06,,,,
1858.6,trial-3-dispense-1.0-ul-channel_1,1.02,,,,
1858.7,trial-3-liquid_height-1.0-ul-channel_1,20.25,,,,
1990,trial-4-aspirate-1.0-ul-channel_1,1.07,,,,
1990.1,trial-4-dispense-1.0-ul-channel_1,1.03,,,,
1990.1,trial-4-liquid_height-1.0-ul-channel_1,20.25,,,,
2117.4,trial-5-aspirate-1.0-ul-channel_1,1.02,,,,
2117.5,trial-5-dispense-1.0-ul-channel_1,0.94,,,,
2117.5,trial-5-liquid_height-1.0-ul-channel_1,20.25,,,,
2244.8,trial-6-aspirate-1.0-ul-channel_1,1.15,,,,
2244.9,trial-6-dispense-1.0-ul-channel_1,0.96,,,,
2244.9,trial-6-liquid_height-1.0-ul-channel_1,20.25,,,,
2378.6,trial-7-aspirate-1.0-ul-channel_1,1.1,,,,
2378.7,trial-7-dispense-1.0-ul-channel_1,0.98,,,,
2378.7,trial-7-liquid_height-1.0-ul-channel_1,20.25,,,,
2511.3,trial-8-aspirate-1.0-ul-channel_1,1.04,,,,
2511.4,trial-8-dispense-1.0-ul-channel_1,0.96,,,,
2511.4,trial-8-liquid_height-1.0-ul-channel_1,20.25,,,,
2642.9,trial-9-aspirate-1.0-ul-channel_1,1,,,,
2643,trial-9-dispense-1.0-ul-channel_1,0.99,,,,
2643,trial-9-liquid_height-1.0-ul-channel_1,20.25,,,,
2836.2,trial-1-aspirate-50.0-ul-channel_1,50.49,,,,
2836.3,trial-1-dispense-50.0-ul-channel_1,50.68,,,,
2836.3,trial-1-liquid_height-50.0-ul-channel_1,20.24,,,,
2977.4,trial-2-aspirate-50.0-ul-channel_1,50.73,,,,
2977.5,trial-2-dispense-50.0-ul-channel_1,50.77,,,,
2977.5,trial-2-liquid_height-50.0-ul-channel_1,20.24,,,,
3112.4,trial-3-aspirate-50.0-ul-channel_1,50.79,,,,
3112.5,trial-3-dispense-50.0-ul-channel_1,50.69,,,,
3112.5,trial-3-liquid_height-50.0-ul-channel_1,20.24,,,,
3253.4,trial-4-aspirate-50.0-ul-channel_1,50.78,,,,
3253.5,trial-4-dispense-50.0-ul-channel_1,50.83,,,,
3253.8,trial-4-liquid_height-50.0-ul-channel_1,20.24,,,,
3390,trial-5-aspirate-50.0-ul-channel_1,50.82,,,,
3390,trial-5-dispense-50.0-ul-channel_1,50.72,,,,
3390.1,trial-5-liquid_height-50.0-ul-channel_1,20.24,,,,
3525.8,trial-6-aspirate-50.0-ul-channel_1,50.8,,,,
3525.9,trial-6-dispense-50.0-ul-channel_1,50.71,,,,
3526,trial-6-liquid_height-50.0-ul-channel_1,20.24,,,,
3669.2,trial-7-aspirate-50.0-ul-channel_1,50.78,,,,
3669.2,trial-7-dispense-50.0-ul-channel_1,50.62,,,,
3669.3,trial-7-liquid_height-50.0-ul-channel_1,20.24,,,,
