copy,copy,copy,copy,,RETEST---.>>,,THIS IS NOT READY TO USE,,,,
1943,volume-dispense-5.0-channel_all-cv,1.31,,,,,,,,,
1943.1,volume-dispense-5.0-channel_all-d,0.1,,,,,,,,,
0,volume-dispense-5.0-channel_all-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-5.0-channel_all-humidity-pipette-avg,None,,,,,,,,,
1938,volume-aspirate-5.0-channel_1-average,5.08,,,,,,,,,
1938,volume-aspirate-5.0-channel_1-cv,1.41,,,,,,,,,
1938.1,volume-aspirate-5.0-channel_1-d,1.53,,,,,,,,,
1938.2,volume-aspirate-5.0-channel_1-celsius-pipette-avg,24.36,,,,,,,,,
1938.2,volume-aspirate-5.0-channel_1-humidity-pipette-avg,59.2,,,,,,,,,
1938.3,volume-dispense-5.0-channel_1-average,5,,,,,,,,,
1938.4,volume-dispense-5.0-channel_1-cv,1.31,,,,,,,,,
1938.4,volume-dispense-5.0-channel_1-d,0.1,,,,,,,,,
1938.5,volume-dispense-5.0-channel_1-celsius-pipette-avg,24.32,,,,,,,,,
1938.6,volume-dispense-5.0-channel_1-humidity-pipette-avg,59.32,,,,,,,,,
1938.7,volume-aspirate-5.0-trial_1-average,5.07,,,,,,,,,
1938.7,volume-aspirate-5.0-trial_1-cv,-1,,,,,,,,,
1938.8,volume-aspirate-5.0-trial_1-d,1.32,,,,,,,,,
0,volume-aspirate-5.0-trial_1-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-5.0-trial_1-humidity-pipette-avg,None,,,,,,,,,
1938.9,volume-dispense-5.0-trial_1-average,5,,,,,,,,,
1938.9,volume-dispense-5.0-trial_1-cv,-1,,,,,,,,,
1939,volume-dispense-5.0-trial_1-d,0.08,,,,,,,,,
0,volume-dispense-5.0-trial_1-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-5.0-trial_1-humidity-pipette-avg,None,,,,,,,,,
1939.1,volume-aspirate-5.0-trial_2-average,4.98,,,,,,,,,
1939.1,volume-aspirate-5.0-trial_2-cv,-1,,,,,,,,,
1939.2,volume-aspirate-5.0-trial_2-d,-0.45,,,,,,,,,
0,volume-aspirate-5.0-trial_2-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-5.0-trial_2-humidity-pipette-avg,None,,,,,,,,,
1939.3,volume-dispense-5.0-trial_2-average,5.01,,,,,,,,,
1939.3,volume-dispense-5.0-trial_2-cv,-1,,,,,,,,,
1939.4,volume-dispense-5.0-trial_2-d,0.28,,,,,,,,,
0,volume-dispense-5.0-trial_2-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-5.0-trial_2-humidity-pipette-avg,None,,,,,,,,,
1939.5,volume-aspirate-5.0-trial_3-average,5.04,,,,,,,,,
1939.5,volume-aspirate-5.0-trial_3-cv,-1,,,,,,,,,
1939.6,volume-aspirate-5.0-trial_3-d,0.71,,,,,,,,,
0,volume-aspirate-5.0-trial_3-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-5.0-trial_3-humidity-pipette-avg,None,,,,,,,,,
1939.7,volume-dispense-5.0-trial_3-average,4.97,,,,,,,,,
1939.8,volume-dispense-5.0-trial_3-cv,-1,,,,,,,,,
1939.8,volume-dispense-5.0-trial_3-d,-0.52,,,,,,,,,
0,volume-dispense-5.0-trial_3-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-5.0-trial_3-humidity-pipette-avg,None,,,,,,,,,
1939.9,volume-aspirate-5.0-trial_4-average,5.01,,,,,,,,,
1940,volume-aspirate-5.0-trial_4-cv,-1,,,,,,,,,
1940,volume-aspirate-5.0-trial_4-d,0.2,,,,,,,,,
0,volume-aspirate-5.0-trial_4-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-5.0-trial_4-humidity-pipette-avg,None,,,,,,,,,
1940.1,volume-dispense-5.0-trial_4-average,5.02,,,,,,,,,
1940.2,volume-dispense-5.0-trial_4-cv,-1,,,,,,,,,
1940.2,volume-dispense-5.0-trial_4-d,3.50E-01,,,,,,,,,
0,volume-dispense-5.0-trial_4-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-5.0-trial_4-humidity-pipette-avg,None,,,,,,,,,
1940.3,volume-aspirate-5.0-trial_5-average,5.05E+00,,,,,,,,,
1940.4,volume-aspirate-5.0-trial_5-cv,-1,,,,,,,,,
1940.4,volume-aspirate-5.0-trial_5-d,1.04,,,,,,,,,
0,volume-aspirate-5.0-trial_5-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-5.0-trial_5-humidity-pipette-avg,None,,,,,,,,,
1940.5,volume-dispense-5.0-trial_5-average,4.94,,,,,,,,,
1940.6,volume-dispense-5.0-trial_5-cv,-1,,,,,,,,,
1940.7,volume-dispense-5.0-trial_5-d,-1.26,,,,,,,,,
0,volume-dispense-5.0-trial_5-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-5.0-trial_5-humidity-pipette-avg,None,,,,,,,,,
1940.7,volume-aspirate-5.0-trial_6-average,5.13E+00,,,,,,,,,
1940.8,volume-aspirate-5.0-trial_6-cv,-1,,,,,,,,,
1940.9,volume-aspirate-5.0-trial_6-d,2.56,,,,,,,,,
0,volume-aspirate-5.0-trial_6-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-5.0-trial_6-humidity-pipette-avg,None,,,,,,,,,
1940.9,volume-dispense-5.0-trial_6-average,4.91,,,,,,,,,
1941,volume-dispense-5.0-trial_6-cv,-1,,,,,,,,,
1941.1,volume-dispense-5.0-trial_6-d,-1.86,,,,,,,,,
0,volume-dispense-5.0-trial_6-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-5.0-trial_6-humidity-pipette-avg,None,,,,,,,,,
1941.1,volume-aspirate-5.0-trial_7-average,5.18,,,,,,,,,
1941.2,volume-aspirate-5.0-trial_7-cv,-1,,,,,,,,,
1941.3,volume-aspirate-5.0-trial_7-d,3.68,,,,,,,,,
0,volume-aspirate-5.0-trial_7-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-5.0-trial_7-humidity-pipette-avg,None,,,,,,,,,
1941.3,volume-dispense-5.0-trial_7-average,5.1,,,,,,,,,
1941.4,volume-dispense-5.0-trial_7-cv,-1.00E+00,,,,,,,,,
1941.5,volume-dispense-5.0-trial_7-d,2.10E+00,,,,,,,,,
0,volume-dispense-5.0-trial_7-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-5.0-trial_7-humidity-pipette-avg,None,,,,,,,,,
1941.5,volume-aspirate-5.0-trial_8-average,5.01E+00,,,,,,,,,
1941.6,volume-aspirate-5.0-trial_8-cv,-1,,,,,,,,,
1941.7,volume-aspirate-5.0-trial_8-d,0.21,,,,,,,,,
0,volume-aspirate-5.0-trial_8-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-5.0-trial_8-humidity-pipette-avg,None,,,,,,,,,
1941.7,volume-dispense-5.0-trial_8-average,4.95,,,,,,,,,
1941.8,volume-dispense-5.0-trial_8-cv,-1.00E+00,,,,,,,,,
1941.9,volume-dispense-5.0-trial_8-d,-1.02,,,,,,,,,
0,volume-dispense-5.0-trial_8-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-5.0-trial_8-humidity-pipette-avg,None,,,,,,,,,
1941.9,volume-aspirate-5.0-trial_9-average,5.15E+00,,,,,,,,,
1942,volume-aspirate-5.0-trial_9-cv,-1.00E+00,,,,,,,,,
1942.1,volume-aspirate-5.0-trial_9-d,3.04,,,,,,,,,
0,volume-aspirate-5.0-trial_9-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-5.0-trial_9-humidity-pipette-avg,None,,,,,,,,,
1942.1,volume-dispense-5.0-trial_9-average,5.05,,,,,,,,,
1942.2,volume-dispense-5.0-trial_9-cv,-1,,,,,,,,,
1942.3,volume-dispense-5.0-trial_9-d,0.92,,,,,,,,,
0,volume-dispense-5.0-trial_9-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-5.0-trial_9-humidity-pipette-avg,None,,,,,,,,,
1942.3,volume-aspirate-5.0-trial_10-average,5.15,,,,,,,,,
1942.4,volume-aspirate-5.0-trial_10-cv,-1.00E+00,,,,,,,,,
1942.5,volume-aspirate-5.0-trial_10-d,2.97E+00,,,,,,,,,
0,volume-aspirate-5.0-trial_10-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-5.0-trial_10-humidity-pipette-avg,None,,,,,,,,,
1942.6,volume-dispense-5.0-trial_10-average,5.1,,,,,,,,,
1942.6,volume-dispense-5.0-trial_10-cv,-1.00E+00,,,,,,,,,
1942.7,volume-dispense-5.0-trial_10-d,1.92E+00,,,,,,,,,
0,volume-dispense-5.0-trial_10-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-5.0-trial_10-humidity-pipette-avg,None,,,,,,,,,
3821.9,volume-aspirate-1000.0-channel_all-average,1.00E+03,,,,,,,,,
3822,volume-aspirate-1000.0-channel_all-cv,0.02,,,,,,,,,
3822.1,volume-aspirate-1000.0-channel_all-d,-2.00E-02,,,,,,,,,
0,volume-aspirate-1000.0-channel_all-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-1000.0-channel_all-humidity-pipette-avg,None,,,,,,,,,
3822.1,volume-dispense-1000.0-channel_all-average,1.00E+03,,,,,,,,,
3822.2,volume-dispense-1000.0-channel_all-cv,3.00E-02,,,,,,,,,
3822.3,volume-dispense-1000.0-channel_all-d,-3.00E-02,,,,,,,,,
0,volume-dispense-1000.0-channel_all-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-1000.0-channel_all-humidity-pipette-avg,None,,,,,,,,,
3816.6,volume-aspirate-1000.0-channel_1-average,1.00E+03,,,,,,,,,
3816.7,volume-aspirate-1000.0-channel_1-cv,0.02,,,,,,,,,
3816.8,volume-aspirate-1000.0-channel_1-d,-0.02,,,,,,,,,
3816.9,volume-aspirate-1000.0-channel_1-celsius-pipette-avg,2.58E+01,,,,,,,,,
3816.9,volume-aspirate-1000.0-channel_1-humidity-pipette-avg,55.52,,,,,,,,,
3817,volume-dispense-1000.0-channel_1-average,1.00E+03,,,,,,,,,
3817.1,volume-dispense-1000.0-channel_1-cv,0.03,,,,,,,,,
3817.1,volume-dispense-1000.0-channel_1-d,-3.00E-02,,,,,,,,,
3817.2,volume-dispense-1000.0-channel_1-celsius-pipette-avg,2.58E+01,,,,,,,,,
3817.3,volume-dispense-1000.0-channel_1-humidity-pipette-avg,5.56E+01,,,,,,,,,
3817.4,volume-aspirate-1000.0-trial_1-average,1.00E+03,,,,,,,,,
3817.4,volume-aspirate-1000.0-trial_1-cv,-1,,,,,,,,,
3817.5,volume-aspirate-1000.0-trial_1-d,1.00E-02,,,,,,,,,
0,volume-aspirate-1000.0-trial_1-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-1000.0-trial_1-humidity-pipette-avg,None,,,,,,,,,
3817.6,volume-dispense-1000.0-trial_1-average,1000.04,,,,,,,,,
3817.7,volume-dispense-1000.0-trial_1-cv,-1.00E+00,,,,,,,,,
3817.7,volume-dispense-1000.0-trial_1-d,0,,,,,,,,,
0,volume-dispense-1000.0-trial_1-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-1000.0-trial_1-humidity-pipette-avg,None,,,,,,,,,
3817.8,volume-aspirate-1000.0-trial_2-average,1.00E+03,,,,,,,,,
3817.9,volume-aspirate-1000.0-trial_2-cv,-1.00E+00,,,,,,,,,
3818,volume-aspirate-1000.0-trial_2-d,0.00E+00,,,,,,,,,
0,volume-aspirate-1000.0-trial_2-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-1000.0-trial_2-humidity-pipette-avg,None,,,,,,,,,
3818.1,volume-dispense-1000.0-trial_2-average,999.95,,,,,,,,,
3818.1,volume-dispense-1000.0-trial_2-cv,-1.00E+00,,,,,,,,,
3818.2,volume-dispense-1000.0-trial_2-d,0,,,,,,,,,
0,volume-dispense-1000.0-trial_2-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-1000.0-trial_2-humidity-pipette-avg,None,,,,,,,,,
3818.3,volume-aspirate-1000.0-trial_3-average,999.89,,,,,,,,,
3818.3,volume-aspirate-1000.0-trial_3-cv,-1.00E+00,,,,,,,,,
3818.4,volume-aspirate-1000.0-trial_3-d,-0.01,,,,,,,,,
0,volume-aspirate-1000.0-trial_3-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-1000.0-trial_3-humidity-pipette-avg,None,,,,,,,,,
3818.5,volume-dispense-1000.0-trial_3-average,1.00E+03,,,,,,,,,
3818.6,volume-dispense-1000.0-trial_3-cv,-1.00E+00,,,,,,,,,
3818.6,volume-dispense-1000.0-trial_3-d,-0.01,,,,,,,,,
0,volume-dispense-1000.0-trial_3-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-1000.0-trial_3-humidity-pipette-avg,None,,,,,,,,,
3818.7,volume-aspirate-1000.0-trial_4-average,999.89,,,,,,,,,
3818.8,volume-aspirate-1000.0-trial_4-cv,-1,,,,,,,,,
3818.9,volume-aspirate-1000.0-trial_4-d,-1.00E-02,,,,,,,,,
0,volume-aspirate-1000.0-trial_4-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-1000.0-trial_4-humidity-pipette-avg,None,,,,,,,,,
3818.9,volume-dispense-1000.0-trial_4-average,999.79,,,,,,,,,
3819,volume-dispense-1000.0-trial_4-cv,-1.00E+00,,,,,,,,,
3819.1,volume-dispense-1000.0-trial_4-d,-2.00E-02,,,,,,,,,
0,volume-dispense-1000.0-trial_4-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-1000.0-trial_4-humidity-pipette-avg,None,,,,,,,,,
3819.2,volume-aspirate-1000.0-trial_5-average,999.59,,,,,,,,,
3819.2,volume-aspirate-1000.0-trial_5-cv,-1.00E+00,,,,,,,,,
3819.3,volume-aspirate-1000.0-trial_5-d,-4.00E-02,,,,,,,,,
0,volume-aspirate-1000.0-trial_5-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-1000.0-trial_5-humidity-pipette-avg,None,,,,,,,,,
3819.4,volume-dispense-1000.0-trial_5-average,1.00E+03,,,,,,,,,
3819.5,volume-dispense-1000.0-trial_5-cv,-1.00E+00,,,,,,,,,
3819.5,volume-dispense-1000.0-trial_5-d,-4.00E-02,,,,,,,,,
0,volume-dispense-1000.0-trial_5-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-1000.0-trial_5-humidity-pipette-avg,None,,,,,,,,,
3819.6,volume-aspirate-1000.0-trial_6-average,999.49,,,,,,,,,
3819.7,volume-aspirate-1000.0-trial_6-cv,-1,,,,,,,,,
3819.8,volume-aspirate-1000.0-trial_6-d,-0.05,,,,,,,,,
0,volume-aspirate-1000.0-trial_6-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-1000.0-trial_6-humidity-pipette-avg,None,,,,,,,,,
3819.8,volume-dispense-1000.0-trial_6-average,9.99E+02,,,,,,,,,
3819.9,volume-dispense-1000.0-trial_6-cv,-1,,,,,,,,,
3820,volume-dispense-1000.0-trial_6-d,-0.07,,,,,,,,,
0,volume-dispense-1000.0-trial_6-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-1000.0-trial_6-humidity-pipette-avg,None,,,,,,,,,
3820.1,volume-aspirate-1000.0-trial_7-average,9.99E+02,,,,,,,,,
3820.1,volume-aspirate-1000.0-trial_7-cv,-1,,,,,,,,,
3820.2,volume-aspirate-1000.0-trial_7-d,-5.00E-02,,,,,,,,,
0,volume-aspirate-1000.0-trial_7-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-1000.0-trial_7-humidity-pipette-avg,None,,,,,,,,,
3820.3,volume-dispense-1000.0-trial_7-average,9.99E+02,,,,,,,,,
3820.4,volume-dispense-1000.0-trial_7-cv,-1,,,,,,,,,
3820.5,volume-dispense-1000.0-trial_7-d,-8.00E-02,,,,,,,,,
0,volume-dispense-1000.0-trial_7-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-1000.0-trial_7-humidity-pipette-avg,None,,,,,,,,,
3820.5,volume-aspirate-1000.0-trial_8-average,999.91,,,,,,,,,
3820.6,volume-aspirate-1000.0-trial_8-cv,-1.00E+00,,,,,,,,,
3820.7,volume-aspirate-1000.0-trial_8-d,-1.00E-02,,,,,,,,,
0,volume-aspirate-1000.0-trial_8-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-1000.0-trial_8-humidity-pipette-avg,None,,,,,,,,,
3820.8,volume-dispense-1000.0-trial_8-average,1.00E+03,,,,,,,,,
3820.8,volume-dispense-1000.0-trial_8-cv,-1.00E+00,,,,,,,,,
3820.9,volume-dispense-1000.0-trial_8-d,-0.01,,,,,,,,,
0,volume-dispense-1000.0-trial_8-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-1000.0-trial_8-humidity-pipette-avg,None,,,,,,,,,
3821,volume-aspirate-1000.0-trial_9-average,1.00E+03,,,,,,,,,
3821.1,volume-aspirate-1000.0-trial_9-cv,-1.00E+00,,,,,,,,,
3821.1,volume-aspirate-1000.0-trial_9-d,-0.01,,,,,,,,,
0,volume-aspirate-1000.0-trial_9-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-1000.0-trial_9-humidity-pipette-avg,None,,,,,,,,,
3821.2,volume-dispense-1000.0-trial_9-average,1.00E+03,,,,,,,,,
3821.3,volume-dispense-1000.0-trial_9-cv,-1.00E+00,,,,,,,,,
3821.4,volume-dispense-1000.0-trial_9-d,-0.01,,,,,,,,,
0,volume-dispense-1000.0-trial_9-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-1000.0-trial_9-humidity-pipette-avg,None,,,,,,,,,
3821.4,volume-aspirate-1000.0-trial_10-average,1.00E+03,,,,,,,,,
3821.5,volume-aspirate-1000.0-trial_10-cv,-1.00E+00,,,,,,,,,
3821.6,volume-aspirate-1000.0-trial_10-d,-0.04,,,,,,,,,
0,volume-aspirate-1000.0-trial_10-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-1000.0-trial_10-humidity-pipette-avg,None,,,,,,,,,
3821.7,volume-dispense-1000.0-trial_10-average,999.56,,,,,,,,,
3821.8,volume-dispense-1000.0-trial_10-cv,-1,,,,,,,,,
3821.8,volume-dispense-1000.0-trial_10-d,-4.00E-02,,,,,,,,,
0,volume-dispense-1000.0-trial_10-celsius-pipette-avg,None,,,,,,,,,
0,volume-dispense-1000.0-trial_10-humidity-pipette-avg,None,,,,,,,,,
0,VOLUMES_END,,,,,,,,,,
952.6,____________,,,,,,,,,,
952.6,TRIALS_START,,,,,,,,,,
952.6,trial-1-aspirate-5.0-ul-channel_1,5.065807898,,,,,,,,,
952.7,trial-1-dispense-5.0-ul-channel_1,5.00E+00,,,,,,,,,
952.7,trial-1-liquid_height-5.0-ul-channel_1,28.78848402,,,,,,,,,
1059.1,trial-2-aspirate-5.0-ul-channel_1,4.98E+00,,,,,,,,,
1059.2,trial-2-dispense-5.0-ul-channel_1,5.01E+00,,,,,,,,,
1059.2,trial-2-liquid_height-5.0-ul-channel_1,28.78606663,,,,,,,,,
1165.9,trial-3-aspirate-5.0-ul-channel_1,5.035719714,,,,,,,,,
1166,trial-3-dispense-5.0-ul-channel_1,4.97E+00,,,,,,,,,
1166.1,trial-3-liquid_height-5.0-ul-channel_1,2.88E+01,,,,,,,,,
1273.1,trial-4-aspirate-5.0-ul-channel_1,5.01E+00,,,,,,,,,
1273.2,trial-4-dispense-5.0-ul-channel_1,5.017575355,,,,,,,,,
1273.3,trial-4-liquid_height-5.0-ul-channel_1,2.88E+01,,,,,,,,,
1380.7,trial-5-aspirate-5.0-ul-channel_1,5.05E+00,,,,,,,,,
1380.8,trial-5-dispense-5.0-ul-channel_1,4.94E+00,,,,,,,,,
1380.8,trial-5-liquid_height-5.0-ul-channel_1,2.88E+01,,,,,,,,,
1488.6,trial-6-aspirate-5.0-ul-channel_1,5.128243643,,,,,,,,,
1488.7,trial-6-dispense-5.0-ul-channel_1,4.91E+00,,,,,,,,,
1488.7,trial-6-liquid_height-5.0-ul-channel_1,2.88E+01,,,,,,,,,
1596.7,trial-7-aspirate-5.0-ul-channel_1,5.184159045,,,,,,,,,
1596.8,trial-7-dispense-5.0-ul-channel_1,5.104949281,,,,,,,,,
1596.8,trial-7-liquid_height-5.0-ul-channel_1,2.88E+01,,,,,,,,,
1703.4,trial-8-aspirate-5.0-ul-channel_1,5.01E+00,,,,,,,,,
1703.5,trial-8-dispense-5.0-ul-channel_1,4.95E+00,,,,,,,,,
1703.5,trial-8-liquid_height-5.0-ul-channel_1,28.77390682,,,,,,,,,
1810.6,trial-9-aspirate-5.0-ul-channel_1,5.15E+00,,,,,,,,,
1810.6,trial-9-dispense-5.0-ul-channel_1,5.05E+00,,,,,,,,,
1810.7,trial-9-liquid_height-5.0-ul-channel_1,2.88E+01,,,,,,,,,
1917.9,trial-10-aspirate-5.0-ul-channel_1,5.15E+00,,,,,,,,,
1918,trial-10-dispense-5.0-ul-channel_1,5.096072598,,,,,,,,,
1918,trial-10-liquid_height-5.0-ul-channel_1,2.88E+01,,,,,,,,,
2879.6,trial-1-aspirate-1000.0-ul-channel_1,1.00E+03,,,,,,,,,
2879.7,trial-1-dispense-1000.0-ul-channel_1,1000.038668,,,,,,,,,
2879.8,trial-1-liquid_height-1000.0-ul-channel_1,28.18117112,,,,,,,,,
2981.2,trial-2-aspirate-1000.0-ul-channel_1,1.00E+03,,,,,,,,,
2981.2,trial-2-dispense-1000.0-ul-channel_1,1.00E+03,,,,,,,,,
2981.3,trial-2-liquid_height-1000.0-ul-channel_1,2.82E+01,,,,,,,,,
3082.8,trial-3-aspirate-1000.0-ul-channel_1,999.8877038,,,,,,,,,
3082.8,trial-3-dispense-1000.0-ul-channel_1,1.00E+03,,,,,,,,,
3082.9,trial-3-liquid_height-1000.0-ul-channel_1,2.82E+01,,,,,,,,,
3184.6,trial-4-aspirate-1000.0-ul-channel_1,1.00E+03,,,,,,,,,
3184.7,trial-4-dispense-1000.0-ul-channel_1,1.00E+03,,,,,,,,,
3184.8,trial-4-liquid_height-1000.0-ul-channel_1,28.17570467,,,,,,,,,
3286.7,trial-5-aspirate-1000.0-ul-channel_1,1.00E+03,,,,,,,,,
3286.8,trial-5-dispense-1000.0-ul-channel_1,1.00E+03,,,,,,,,,
3286.9,trial-5-liquid_height-1000.0-ul-channel_1,28.17327514,,,,,,,,,
3388.9,trial-6-aspirate-1000.0-ul-channel_1,999.4871369,,,,,,,,,
3389,trial-6-dispense-1000.0-ul-channel_1,9.99E+02,,,,,,,,,
3389.1,trial-6-liquid_height-1000.0-ul-channel_1,2.82E+01,,,,,,,,,
3491.3,trial-7-aspirate-1000.0-ul-channel_1,9.99E+02,,,,,,,,,
3491.4,trial-7-dispense-1000.0-ul-channel_1,999.2222853,,,,,,,,,
3491.4,trial-7-liquid_height-1000.0-ul-channel_1,2.82E+01,,,,,,,,,
3593.3,trial-8-aspirate-1000.0-ul-channel_1,1.00E+03,,,,,,,,,
3593.3,trial-8-dispense-1000.0-ul-channel_1,1.00E+03,,,,,,,,,
3593.4,trial-8-liquid_height-1000.0-ul-channel_1,2.82E+01,,,,,,,,,
3695.4,trial-9-aspirate-1000.0-ul-channel_1,999.8922895,,,,,,,,,
3695.4,trial-9-dispense-1000.0-ul-channel_1,1.00E+03,,,,,,,,,
3695.5,trial-9-liquid_height-1000.0-ul-channel_1,2.82E+01,,,,,,,,,
3797.6,trial-10-aspirate-1000.0-ul-channel_1,999.5717307,,,,,,,,,
3797.7,trial-10-dispense-1000.0-ul-channel_1,999.5552311,,,,,,,,,
