copy,copy,copy,,,,,Link,Pipette,Model,Result,Reasons,Warnings,Scale,Robot,test_version,Min CV,Min %D,Avg. Min Water Remaining (uL),tips,Asp sample Range (uL),Disp sample Range (uL),Max CV,Max %D,Avg. Max Water Remaining,tips,Asp sample Range (uL),Disp sample Range (uL),Avg Stem Temp (C),Avg Stem Hum (%),Avg Air Temp (C),Avg Air Hum (%),Mid1 CV,Mid1 %D,Avg. Mid1 Water Remaining (uL),tips,Mid2 CV,Mid2 %D,Avg. Mid1 Water Remaining (uL),tips,measure-init-blank-ul-channel_1-trial-1-grams-average,test_time_utc,pipette_mount,test_operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3241.6,RESULT_SERIAL-NUMBERS,None,,,,Environment Warnings:,,,,,,,,,,,,,,,,,,,,,,1,0.92,8,-8,7,,,GRAV12,FLXA1020240601003,590751,AS 82/220.X2,,,,,,,,,,,,,1000,995,0.5,-0.5,0.15,,,,,trial-3-liquid_height-1.0-ul-channel_1,1278,2.74E+01,trial,3,liquid_height,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-grams-min,271.9,1.65E+01,measure,init,blank,ul,channel_1,trial,1,grams,min,,,,encoder-volume-1.0-channel_0-trial-2-start-drift,1121.1,0.007,encoder,volume,1,channel_0,trial,2,start,drift,,
3241.6,RESULT_CONFIG,None,,,,,Air Temp:,,,,,,,,,,,,,,,,,,,Mid,50ul,10,10.15,1.5,-1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-4-aspirate-1.0-ul-channel_1,1390.2,1.05E+00,trial,4,aspirate,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-grams-max,271.9,1.65E+01,measure,init,blank,ul,channel_1,trial,1,grams,max,,,,encoder-volume-1.0-channel_0-trial-2-end-target,1121.2,59.363,encoder,volume,1,channel_0,trial,2,end,target,,
3241.6,RESULT_VOLUMES,None,,,,,Air Hum:,Hum Out of Range,,,,,,,,,,,,,,,,,,,,10,9.85,1.5,-1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-4-dispense-1.0-ul-channel_1,1390.2,1.034477107,trial,4,dispense,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-samples-start-time,272,1.78E+09,measure,init,blank,ul,channel_1,trial,1,samples,start,time,,,encoder-volume-1.0-channel_0-trial-2-end-encoder,1121.3,59.361,encoder,volume,1,channel_0,trial,2,end,encoder,,
3241.6,RESULT_TRIALS,None,,,,,,,,,,,,,,,,,,,,,,,,Mid2,50ul,#N/A,#N/A,#N/A,#N/A,#N/A,,,Robot,GRAV4,,,,,,,,,,,,,,,,,%D,,CV,,,,,trial-4-liquid_height-1.0-ul-channel_1,1390.3,2.74E+01,trial,4,liquid_height,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-samples-duration,272,9.813809395,measure,init,blank,ul,channel_1,trial,1,samples,duration,,,,encoder-volume-1.0-channel_0-trial-2-end-drift,1121.3,-2.00E-03,encoder,volume,1,channel_0,trial,2,end,drift,,
3241.6,RESULT_EVAPORATION,None,,,,Scale Stability Warnings:,,"Aspirate: 
Unstable Trials",,"Dispense: 
Unstable Trials",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,Robot SN,FLXA1020230816005,,,,,,,,,,,,P50S,Min,50ul,1,1.08,8,-8,7,,,,,trial-5-aspirate-1.0-ul-channel_1,1502.8,1.04E+00,trial,5,aspirate,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-samples-count,272.1,5.00E+01,measure,init,blank,ul,channel_1,trial,1,samples,count,,,,encoder-volume-1.0-channel_0-trial-3-start-target,1232.9,61.5,encoder,volume,1,channel_0,trial,3,start,target,,
3241.6,RESULT_ENVIRONMENT,None,,,,,Min Vol:,PASS,,PASS,,,,,,,,,,,,,,,,Max,50ul,50,50.625,1.25,-1.25,0.4,,,Scale,685823,,,,,,,,,,,,,,,1,0.92,8,-8,7,,,,,trial-5-dispense-1.0-ul-channel_1,1502.9,1.03E+00,trial,5,dispense,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-celsius-pipette,297.1,2.39E+01,measure,aspirate,blank,ul,channel_1,trial,1,celsius,pipette,,,,encoder-volume-1.0-channel_0-trial-3-start-encoder,1233,61.506,encoder,volume,1,channel_0,trial,3,start,encoder,,
3241.6,RESULT_MEASUREMENTS,None,,,,,Mid Vol:,PASS,,PASS,,,,,,,,,,,,,,,,,,50,49.375,1.25,-1.25,0.4,,,Scale SN,#N/A,,,,,,,,,,,,,Mid1,50ul,10,10.15,1.5,-1.5,0.5,,,,,trial-5-liquid_height-1.0-ul-channel_1,1503,2.74E+01,trial,5,liquid_height,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-humidity-pipette,297.1,4.98E+01,measure,aspirate,blank,ul,channel_1,trial,1,humidity,pipette,,,,encoder-volume-1.0-channel_0-trial-3-start-drift,1233.1,6.00E-03,encoder,volume,1,channel_0,trial,3,start,drift,,
3241.6,RESULT_ENCODER,None,,,,,Max Vol:,PASS,,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9.85,1.5,-1.5,0.5,,,,,trial-6-aspirate-1.0-ul-channel_1,1615.9,1.050208252,trial,6,aspirate,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-celsius-air,297.2,21.6,measure,aspirate,blank,ul,channel_1,trial,1,celsius,air,,,,encoder-volume-1.0-channel_0-trial-3-end-target,1233.1,5.94E+01,encoder,volume,1,channel_0,trial,3,end,target,,
3241.6,RESULTS_OVERVIEW_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid2,50ul,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,trial-6-dispense-1.0-ul-channel_1,1616,1.03E+00,trial,6,dispense,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-humidity-air,297.2,4.81E+01,measure,aspirate,blank,ul,channel_1,trial,1,humidity,air,,,,encoder-volume-1.0-channel_0-trial-3-end-encoder,1233.2,59.361,encoder,volume,1,channel_0,trial,3,end,encoder,,
0.5,____________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,trial-6-liquid_height-1.0-ul-channel_1,1616,2.74E+01,trial,6,liquid_height,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-pascals-air,297.3,1.00E+03,measure,aspirate,blank,ul,channel_1,trial,1,pascals,air,,,,encoder-volume-1.0-channel_0-trial-3-end-drift,1233.3,-0.002,encoder,volume,1,channel_0,trial,3,end,drift,,
0.5,SERIAL-NUMBERS_START,,,,,MIN VOLUME,,,,,,,,,,,,,Channel_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max,50ul,50,50.625,1.25,-1.25,0.4,,,,,trial-7-aspirate-1.0-ul-channel_1,1729.3,1.073960756,trial,7,aspirate,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-celsius-liquid,297.4,2.50E+01,measure,aspirate,blank,ul,channel_1,trial,1,celsius,liquid,,,,encoder-volume-1.0-channel_0-trial-4-start-target,1345.2,6.15E+01,encoder,volume,1,channel_0,trial,4,start,target,,
0.5,robot,GRAV4,,,,,,,,,,,,,,,,,Min Volume,Trial,Water Remaining,Time from Start (s),Aspirate,Aspirate %D,Time from Start (s),Dispense,Dispense %D,Aspirate Travel (mm),,,,,,,,,,,,,,,,,,,,,,,50,49.375,1.25,-1.25,0.4,,,,,trial-7-dispense-1.0-ul-channel_1,1729.3,1.02188425,trial,7,dispense,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-grams-average,297.4,16.51059106,measure,aspirate,blank,ul,channel_1,trial,1,grams,average,,,,encoder-volume-1.0-channel_0-trial-4-start-encoder,1345.3,61.506,encoder,volume,1,channel_0,trial,4,start,encoder,,
0.5,pipette,P50SV3620260626A12-qc,,,,,,,,,,,,,,,,,1,1,0.004,1026.700,1.050,5.006,1052.500,1.046,4.638,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-7-liquid_height-1.0-ul-channel_1,1729.4,2.74E+01,trial,7,liquid_height,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-grams-cv,297.5,2.00E-07,measure,aspirate,blank,ul,channel_1,trial,1,grams,cv,,,,encoder-volume-1.0-channel_0-trial-4-start-drift,1345.4,0.006,encoder,volume,1,channel_0,trial,4,start,drift,,
0.6,tips_50ul,A20260227-L,,,,,,,,,,,,,,,,,,2,0.019,1138.400,1.050,5.027,1164.200,1.032,3.153,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-8-aspirate-1.0-ul-channel_1,1841,1.07E+00,trial,8,aspirate,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-grams-min,297.5,1.65E+01,measure,aspirate,blank,ul,channel_1,trial,1,grams,min,,,,encoder-volume-1.0-channel_0-trial-4-end-target,1345.4,59.362,encoder,volume,1,channel_0,trial,4,end,target,,
None,tips_200ul,None,,,,,,,,,,,,,,,,,,3,0.014,1250.300,1.039,3.859,1276.100,1.024,2.432,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-8-dispense-1.0-ul-channel_1,1841.1,1.05E+00,trial,8,dispense,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-grams-max,297.6,1.65E+01,measure,aspirate,blank,ul,channel_1,trial,1,grams,max,,,,encoder-volume-1.0-channel_0-trial-4-end-encoder,1345.5,59.36,encoder,volume,1,channel_0,trial,4,end,encoder,,
None,tips_1000ul,None,,,,,,,,,,,,,,,,,,4,0.018,1362.600,1.052,5.210,1388.400,1.034,3.448,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-8-liquid_height-1.0-ul-channel_1,1841.2,27.38852459,trial,8,liquid_height,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-samples-start-time,297.6,1.78E+09,measure,aspirate,blank,ul,channel_1,trial,1,samples,start,time,,,encoder-volume-1.0-channel_0-trial-4-end-drift,1345.5,-0.002,encoder,volume,1,channel_0,trial,4,end,drift,,
0.6,scale,685823,,,,,,,,,,,,,,,,,,5,0.012,1475.100,1.041,4.113,1501.100,1.029,2.899,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-9-aspirate-1.0-ul-channel_1,1953.2,1.06E+00,trial,9,aspirate,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-samples-duration,297.7,9.829831839,measure,aspirate,blank,ul,channel_1,trial,1,samples,duration,,,,encoder-volume-1.0-channel_0-trial-5-start-target,1457.8,6.15E+01,encoder,volume,1,channel_0,trial,5,start,target,,
0.7,environment,01d100d7,,,,,,,,,,,,,,,,,,6,0.016,1588.200,1.050,5.021,1614.100,1.034,3.377,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-9-dispense-1.0-ul-channel_1,1953.3,1.04E+00,trial,9,dispense,1,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-1-samples-count,297.7,5.10E+01,measure,aspirate,blank,ul,channel_1,trial,1,samples,count,,,,encoder-volume-1.0-channel_0-trial-5-start-encoder,1457.8,61.507,encoder,volume,1,channel_0,trial,5,start,encoder,,
0.7,liquid,None,,,,,,,,,,,,,,,,,,7,0.052,1701.500,1.074,7.396,1727.500,1.022,2.188,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-9-liquid_height-1.0-ul-channel_1,1953.4,2.74E+01,trial,9,liquid_height,1,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-celsius-pipette,322.2,2.39E+01,measure,dispense,blank,ul,channel_1,trial,1,celsius,pipette,,,,encoder-volume-1.0-channel_0-trial-5-start-drift,1457.9,0.007,encoder,volume,1,channel_0,trial,5,start,drift,,
0.5,SERIAL-NUMBERS_END,,,,,,,,,,,,,,,,,,,8,0.022,1813.200,1.067,6.740,1839.200,1.046,4.583,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-10-aspirate-1.0-ul-channel_1,2066,1.07E+00,trial,10,aspirate,1,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-humidity-pipette,322.3,4.95E+01,measure,dispense,blank,ul,channel_1,trial,1,humidity,pipette,,,,encoder-volume-1.0-channel_0-trial-5-end-target,1458,5.94E+01,encoder,volume,1,channel_0,trial,5,end,target,,
3,____________,,,,,,,,,,,,,,,,,,,9,0.013,1925.400,1.057,5.673,1951.400,1.044,4.419,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-10-dispense-1.0-ul-channel_1,2066.1,1.045148737,trial,10,dispense,1,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-celsius-air,322.4,21.6,measure,dispense,blank,ul,channel_1,trial,1,celsius,air,,,,encoder-volume-1.0-channel_0-trial-5-end-encoder,1458,5.94E+01,encoder,volume,1,channel_0,trial,5,end,encoder,,
3,CONFIG_START,,,,,,,,,,,,,,,,,,,10,0.028,2037.800,1.073,7.270,2064.200,1.045,4.515,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-10-liquid_height-1.0-ul-channel_1,2066.2,2.74E+01,trial,10,liquid_height,1,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-humidity-air,322.4,4.80E+01,measure,dispense,blank,ul,channel_1,trial,1,humidity,air,,,,encoder-volume-1.0-channel_0-trial-5-end-drift,1458.1,-0.002,encoder,volume,1,channel_0,trial,5,end,drift,,
3,name,gravimetric-ot3-p50-single,,,,,,,,,,,,,,,,,Average,,0.020,,1.055,5.532,,1.036,3.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-1-aspirate-50.0-ul-channel_1,2186.4,5.06E+01,trial,1,aspirate,50,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-pascals-air,322.5,1.00E+03,measure,dispense,blank,ul,channel_1,trial,1,pascals,air,,,,encoder-volume-1.0-channel_0-trial-6-start-target,1570.8,61.5,encoder,volume,1,channel_0,trial,6,start,target,,
3,pipette_volume,50,,,,,,,,,,,,,,,,,CV,,,,1.169,,,0.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-1-dispense-50.0-ul-channel_1,2186.5,50.5462763,trial,1,dispense,50,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-celsius-liquid,322.5,2.50E+01,measure,dispense,blank,ul,channel_1,trial,1,celsius,liquid,,,,encoder-volume-1.0-channel_0-trial-6-start-encoder,1570.9,6.15E+01,encoder,volume,1,channel_0,trial,6,start,encoder,,
3.1,pipette_channels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-1-liquid_height-50.0-ul-channel_1,2186.6,27.385797,trial,1,liquid_height,50,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-grams-average,322.6,16.51055792,measure,dispense,blank,ul,channel_1,trial,1,grams,average,,,,encoder-volume-1.0-channel_0-trial-6-start-drift,1570.9,0.006,encoder,volume,1,channel_0,trial,6,start,drift,,
3.1,pipette_mount,left,,,,MAX VOLUME,,,,,,,,,,,,,Channel_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-2-aspirate-50.0-ul-channel_1,2300.7,5.05E+01,trial,2,aspirate,50,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-grams-cv,322.6,2.00E-07,measure,dispense,blank,ul,channel_1,trial,1,grams,cv,,,,encoder-volume-1.0-channel_0-trial-6-end-target,1571,59.362,encoder,volume,1,channel_0,trial,6,end,target,,
3.2,tip_volume,50,,,,,,,,,,,,,,,,,Max Volume,Trial,Water Remaining,Time from Start (s),Aspirate,Aspirate %D,Time from Start (s),Dispense,Dispense %D,Aspirate Travel (mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-2-dispense-50.0-ul-channel_1,2300.7,5.03E+01,trial,2,dispense,50,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-grams-min,322.7,1.65E+01,measure,dispense,blank,ul,channel_1,trial,1,grams,min,,,,encoder-volume-1.0-channel_0-trial-6-end-encoder,1571.1,59.361,encoder,volume,1,channel_0,trial,6,end,encoder,,
3.2,trials,10,,,,,,,,,,,,,,,,,50,1,0.039,2158.000,50.586,1.171,2184.600,50.546,1.093,-56.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-2-liquid_height-50.0-ul-channel_1,2300.8,2.74E+01,trial,2,liquid_height,50,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-grams-max,322.7,1.65E+01,measure,dispense,blank,ul,channel_1,trial,1,grams,max,,,,encoder-volume-1.0-channel_0-trial-6-end-drift,1571.1,-0.001,encoder,volume,1,channel_0,trial,6,end,drift,,
3.3,increment,FALSE,,,,,,,,,,,,,,,,,,2,0.137,2272.200,50.458,0.915,2298.700,50.321,0.642,-56.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-3-aspirate-50.0-ul-channel_1,2415.1,50.43633859,trial,3,aspirate,50,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-samples-start-time,322.8,1.78E+09,measure,dispense,blank,ul,channel_1,trial,1,samples,start,time,,,encoder-volume-1.0-channel_0-trial-7-start-target,1684.1,61.5,encoder,volume,1,channel_0,trial,7,start,target,,
3.3,return_tip,FALSE,,,,,,,,,,,,,,,,,,3,0.197,2386.600,50.436,0.873,2413.200,50.240,0.479,-56.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-3-dispense-50.0-ul-channel_1,2415.1,5.02E+01,trial,3,dispense,50,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-samples-duration,322.9,9.780920029,measure,dispense,blank,ul,channel_1,trial,1,samples,duration,,,,encoder-volume-1.0-channel_0-trial-7-start-encoder,1684.2,6.15E+01,encoder,volume,1,channel_0,trial,7,start,encoder,,
3.4,mix,FALSE,,,,,,,,,,,,,,,,,,4,0.138,2501.400,50.435,0.870,2528.100,50.297,0.593,-56.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial-3-liquid_height-50.0-ul-channel_1,2415.2,2.74E+01,trial,3,liquid_height,50,ul,channel_1,,,,measure-dispense-blank-ul-channel_1-trial-1-samples-count,322.9,5.00E+01,measure,dispense,blank,ul,channel_1,trial,1,samples,count,,,,encoder-volume-1.0-channel_0-trial-7-start-drift,1684.3,0.007,encoder,volume,1,channel_0,trial,7,start,drift,,
