copy,copy,copy,copy,copy,copy,copy,
183.1,current-0.75-speed-trial-4-80-up-start,0.75,80,76.5,76.5,PASS,
184.4,current-0.75-speed-trial-4-80-up-end,0.75,80,1,1,PASS,
184.5,current-0.75-speed-trial-0-90-down-start,0.75,90,1,1,PASS,
185.6,current-0.75-speed-trial-0-90-down-end,0.75,90,76.5,76.5,PASS,
185.7,current-0.75-speed-trial-0-90-up-start,0.75,90,76.5,76.5,PASS,
186.8,current-0.75-speed-trial-0-90-up-end,0.75,90,1,1,PASS,
187,current-0.75-speed-trial-1-90-down-start,0.75,90,1,1,PASS,
188.1,current-0.75-speed-trial-1-90-down-end,0.75,90,76.5,76.5,PASS,
188.1,current-0.75-speed-trial-1-90-up-start,0.75,90,76.5,76.5,PASS,
189.2,current-0.75-speed-trial-1-90-up-end,0.75,90,1,1,PASS,
189.4,current-0.75-speed-trial-2-90-down-start,0.75,90,1,1,PASS,
190.5,current-0.75-speed-trial-2-90-down-end,0.75,90,76.5,76.5,PASS,
190.6,current-0.75-speed-trial-2-90-up-start,0.75,90,76.5,76.5,PASS,
191.7,current-0.75-speed-trial-2-90-up-end,0.75,90,1,1,PASS,
191.9,current-0.75-speed-trial-3-90-down-start,0.75,90,1,1,PASS,
193,current-0.75-speed-trial-3-90-down-end,0.75,90,76.5,76.5,PASS,
193,current-0.75-speed-trial-3-90-up-start,0.75,90,76.5,76.5,PASS,
194.1,current-0.75-speed-trial-3-90-up-end,0.75,90,1,1,PASS,
194.3,current-0.75-speed-trial-4-90-down-start,0.75,90,1,1,PASS,
195.4,current-0.75-speed-trial-4-90-down-end,0.75,90,76.5,76.5,PASS,
195.5,current-0.75-speed-trial-4-90-up-start,0.75,90,76.5,76.5,PASS,
196.6,current-0.75-speed-trial-4-90-up-end,0.75,90,1,1,PASS,
138.2,CURRENT-0.75-AMPS_END,,,,,,
196.8,______________________,,,,,,
196.8,CURRENT-1.0-AMPS_START,,,,,,
196.8,current-1.0-speed-trial-0-50-down-start,1,50,1,1,PASS,
198.5,current-1.0-speed-trial-0-50-down-end,1,50,76.5,76.5,PASS,
198.5,current-1.0-speed-trial-0-50-up-start,1,50,76.5,76.5,PASS,
200.3,current-1.0-speed-trial-0-50-up-end,1,50,1,1,PASS,
200.5,current-1.0-speed-trial-1-50-down-start,1,50,1,1,PASS,
202.2,current-1.0-speed-trial-1-50-down-end,1,50,76.5,76.5,PASS,
202.2,current-1.0-speed-trial-1-50-up-start,1,50,76.5,76.5,PASS,
204,current-1.0-speed-trial-1-50-up-end,1,50,1,1,PASS,
204.2,current-1.0-speed-trial-2-50-down-start,1,50,1,1,PASS,
206,current-1.0-speed-trial-2-50-down-end,1,50,76.5,76.5,PASS,
206,current-1.0-speed-trial-2-50-up-start,1,50,76.5,76.5,PASS,
207.7,current-1.0-speed-trial-2-50-up-end,1,50,1,1,PASS,
207.9,current-1.0-speed-trial-3-50-down-start,1,50,1,1,PASS,
209.7,current-1.0-speed-trial-3-50-down-end,1,50,76.5,76.5,PASS,
209.8,current-1.0-speed-trial-3-50-up-start,1,50,76.5,76.5,PASS,
211.5,current-1.0-speed-trial-3-50-up-end,1,50,1,1,PASS,
211.7,current-1.0-speed-trial-4-50-down-start,1,50,1,1,PASS,
213.5,current-1.0-speed-trial-4-50-down-end,1,50,76.5,76.5,PASS,
213.5,current-1.0-speed-trial-4-50-up-start,1,50,76.5,76.5,PASS,
215.3,current-1.0-speed-trial-4-50-up-end,1,50,1,1,PASS,
215.5,current-1.0-speed-trial-0-70-down-start,1,70,1,1,PASS,
216.8,current-1.0-speed-trial-0-70-down-end,1,70,76.5,76.5,PASS,
216.9,current-1.0-speed-trial-0-70-up-start,1,70,76.5,76.5,PASS,
